@hongkong:y 0.002005
@hongkong:n 0.997995
@defend:y 0.004261
@defend:n 0.995739
@created:y 0.004637
@created:n 0.995363
@cars:y 0.003384
@cars:n 0.996616
@peter:y 0.004637
@peter:n 0.995363
@dot:y 0.001379
@dot:n 0.998621
@consortium:y 0.003760
@consortium:n 0.996240
@wireless:y 0.002381
@wireless:n 0.997619
@programme:y 0.003885
@programme:n 0.996115
@kingdom:y 0.003133
@kingdom:n 0.996867
@centers:y 0.003885
@centers:n 0.996115
@nigeria:y 0.002256
@nigeria:n 0.997744
@favour:y 0.004637
@favour:n 0.995363
@textile:y 0.002757
@textile:n 0.997243
@bit:y 0.004261
@bit:n 0.995739
@siemens:y 0.001504
@siemens:n 0.998496
@affiliates:y 0.004387
@affiliates:n 0.995613
@chain:y 0.003259
@chain:n 0.996741
@comprising:y 0.004888
@comprising:n 0.995112
@rainfall:y 0.002381
@rainfall:n 0.997619
@trans:y 0.004011
@trans:n 0.995989
@rotterdam:y 0.003133
@rotterdam:n 0.996867
@cargill:y 0.003008
@cargill:n 0.996992
@backed:y 0.004261
@backed:n 0.995739
@guilder:y 0.002256
@guilder:n 0.997744
@aegean:y 0.001379
@aegean:n 0.998621
@weight:y 0.003133
@weight:n 0.996867
@listed:y 0.004387
@listed:n 0.995613
@disaster:y 0.002883
@disaster:n 0.997117
@delhi:y 0.001003
@delhi:n 0.998997
@greek:y 0.001128
@greek:n 0.998872
@cos:y 0.004512
@cos:n 0.995488
@objective:y 0.003760
@objective:n 0.996240
@oilseeds:y 0.002757
@oilseeds:n 0.997243
@spent:y 0.004763
@spent:n 0.995237
@cooper:y 0.002381
@cooper:n 0.997619
@owners:y 0.003760
@owners:n 0.996240
@textiles:y 0.004136
@textiles:n 0.995864
@adequate:y 0.003885
@adequate:n 0.996115
@float:y 0.002256
@float:n 0.997744
@bankamerica:y 0.002381
@bankamerica:n 0.997619
@sri:y 0.002131
@sri:n 0.997869
@imbalance:y 0.003635
@imbalance:n 0.996365
@economics:y 0.004637
@economics:n 0.995363
@amounted:y 0.004261
@amounted:n 0.995739
@hotels:y 0.002256
@hotels:n 0.997744
@merchandise:y 0.003133
@merchandise:n 0.996867
@repeated:y 0.004888
@repeated:n 0.995112
