1 (@hongkong:y) 0.027778

2 (@hongkong:n) 0.972222

3 (@defend:y) 0.000000

4 (@defend:n) 1.000000

5 (@created:y) 0.005556

6 (@created:n) 0.994444

7 (@cars:y) 0.005556

8 (@cars:n) 0.994444

9 (@peter:y) 0.000000

10 (@peter:n) 1.000000

11 (@dot:y) 0.000000

12 (@dot:n) 1.000000

13 (@consortium:y) 0.005556

14 (@consortium:n) 0.994444

15 (@wireless:y) 0.000000

16 (@wireless:n) 1.000000

17 (@programme:y) 0.000000

18 (@programme:n) 1.000000

19 (@kingdom:y) 0.022222

20 (@kingdom:n) 0.977778

21 (@centers:y) 0.000000

22 (@centers:n) 1.000000

23 (@nigeria:y) 0.005556

24 (@nigeria:n) 0.994444

25 (@favour:y) 0.000000

26 (@favour:n) 1.000000

27 (@textile:y) 0.005556

28 (@textile:n) 0.994444

29 (@bit:y) 0.005556

30 (@bit:n) 0.994444

31 (@siemens:y) 0.000000

32 (@siemens:n) 1.000000

33 (@affiliates:y) 0.011111

34 (@affiliates:n) 0.988889

35 (@chain:y) 0.005556

36 (@chain:n) 0.994444

37 (@comprising:y) 0.005556

38 (@comprising:n) 0.994444

39 (@rainfall:y) 0.000000

40 (@rainfall:n) 1.000000

41 (@trans:y) 0.000000

42 (@trans:n) 1.000000

43 (@rotterdam:y) 0.005556

44 (@rotterdam:n) 0.994444

45 (@cargill:y) 0.000000

46 (@cargill:n) 1.000000

47 (@backed:y) 0.000000

48 (@backed:n) 1.000000

49 (@guilder:y) 0.000000

50 (@guilder:n) 1.000000

51 (@aegean:y) 0.000000

52 (@aegean:n) 1.000000

53 (@weight:y) 0.011111

54 (@weight:n) 0.988889

55 (@listed:y) 0.005556

56 (@listed:n) 0.994444

57 (@disaster:y) 0.016667

58 (@disaster:n) 0.983333

59 (@delhi:y) 0.000000

60 (@delhi:n) 1.000000

61 (@greek:y) 0.000000

62 (@greek:n) 1.000000

63 (@cos:y) 0.000000

64 (@cos:n) 1.000000

65 (@objective:y) 0.016667

66 (@objective:n) 0.983333

67 (@oilseeds:y) 0.000000

68 (@oilseeds:n) 1.000000

69 (@spent:y) 0.005556

70 (@spent:n) 0.994444

71 (@cooper:y) 0.000000

72 (@cooper:n) 1.000000

73 (@owners:y) 0.005556

74 (@owners:n) 0.994444

75 (@textiles:y) 0.005556

76 (@textiles:n) 0.994444

77 (@adequate:y) 0.005556

78 (@adequate:n) 0.994444

79 (@float:y) 0.005556

80 (@float:n) 0.994444

81 (@bankamerica:y) 0.005556

82 (@bankamerica:n) 0.994444

83 (@sri:y) 0.000000

84 (@sri:n) 1.000000

85 (@imbalance:y) 0.000000

86 (@imbalance:n) 1.000000

