@hongkong:y 0.001053
@hongkong:n 0.998947
@defend:y 0.001053
@defend:n 0.998947
@created:y 0.005263
@created:n 0.994737
@cars:y 0.002105
@cars:n 0.997895
@peter:y 0.000000
@peter:n 1.000000
@dot:y 0.000000
@dot:n 1.000000
@consortium:y 0.003158
@consortium:n 0.996842
@wireless:y 0.001053
@wireless:n 0.998947
@programme:y 0.001053
@programme:n 0.998947
@kingdom:y 0.004211
@kingdom:n 0.995789
@centers:y 0.012632
@centers:n 0.987368
@nigeria:y 0.000000
@nigeria:n 1.000000
@favour:y 0.002105
@favour:n 0.997895
@textile:y 0.001053
@textile:n 0.998947
@bit:y 0.002105
@bit:n 0.997895
@siemens:y 0.000000
@siemens:n 1.000000
@affiliates:y 0.006316
@affiliates:n 0.993684
@chain:y 0.006316
@chain:n 0.993684
@comprising:y 0.005263
@comprising:n 0.994737
@rainfall:y 0.001053
@rainfall:n 0.998947
@trans:y 0.000000
@trans:n 1.000000
@rotterdam:y 0.001053
@rotterdam:n 0.998947
@cargill:y 0.004211
@cargill:n 0.995789
@backed:y 0.001053
@backed:n 0.998947
@guilder:y 0.001053
@guilder:n 0.998947
@aegean:y 0.001053
@aegean:n 0.998947
@weight:y 0.003158
@weight:n 0.996842
@listed:y 0.005263
@listed:n 0.994737
@disaster:y 0.003158
@disaster:n 0.996842
@delhi:y 0.000000
@delhi:n 1.000000
@greek:y 0.000000
@greek:n 1.000000
@cos:y 0.004211
@cos:n 0.995789
@objective:y 0.001053
@objective:n 0.998947
@oilseeds:y 0.002105
@oilseeds:n 0.997895
@spent:y 0.007368
@spent:n 0.992632
@cooper:y 0.001053
@cooper:n 0.998947
@owners:y 0.002105
@owners:n 0.997895
@textiles:y 0.004211
@textiles:n 0.995789
@adequate:y 0.000000
@adequate:n 1.000000
@float:y 0.001053
@float:n 0.998947
@bankamerica:y 0.001053
@bankamerica:n 0.998947
@sri:y 0.002105
@sri:n 0.997895
@imbalance:y 0.003158
@imbalance:n 0.996842
@economics:y 0.005263
@economics:n 0.994737
@amounted:y 0.001053
@amounted:n 0.998947
