@hongkong:y 0.003448
@hongkong:n 0.996552
@defend:y 0.024138
@defend:n 0.975862
@created:y 0.006897
@created:n 0.993103
@cars:y 0.003448
@cars:n 0.996552
@peter:y 0.010345
@peter:n 0.989655
@dot:y 0.000000
@dot:n 1.000000
@consortium:y 0.010345
@consortium:n 0.989655
@wireless:y 0.000000
@wireless:n 1.000000
@programme:y 0.003448
@programme:n 0.996552
@kingdom:y 0.013793
@kingdom:n 0.986207
@centers:y 0.000000
@centers:n 1.000000
@nigeria:y 0.006897
@nigeria:n 0.993103
@favour:y 0.003448
@favour:n 0.996552
@textile:y 0.003448
@textile:n 0.996552
@bit:y 0.000000
@bit:n 1.000000
@siemens:y 0.000000
@siemens:n 1.000000
@affiliates:y 0.000000
@affiliates:n 1.000000
@chain:y 0.006897
@chain:n 0.993103
@comprising:y 0.031034
@comprising:n 0.968966
@rainfall:y 0.000000
@rainfall:n 1.000000
@trans:y 0.003448
@trans:n 0.996552
@rotterdam:y 0.000000
@rotterdam:n 1.000000
@cargill:y 0.003448
@cargill:n 0.996552
@backed:y 0.010345
@backed:n 0.989655
@guilder:y 0.010345
@guilder:n 0.989655
@aegean:y 0.003448
@aegean:n 0.996552
@weight:y 0.000000
@weight:n 1.000000
@listed:y 0.000000
@listed:n 1.000000
@disaster:y 0.000000
@disaster:n 1.000000
@delhi:y 0.000000
@delhi:n 1.000000
@greek:y 0.003448
@greek:n 0.996552
@cos:y 0.000000
@cos:n 1.000000
@objective:y 0.003448
@objective:n 0.996552
@oilseeds:y 0.000000
@oilseeds:n 1.000000
@spent:y 0.003448
@spent:n 0.996552
@cooper:y 0.000000
@cooper:n 1.000000
@owners:y 0.000000
@owners:n 1.000000
@textiles:y 0.006897
@textiles:n 0.993103
@adequate:y 0.000000
@adequate:n 1.000000
@float:y 0.000000
@float:n 1.000000
@bankamerica:y 0.003448
@bankamerica:n 0.996552
@sri:y 0.000000
@sri:n 1.000000
@imbalance:y 0.010345
@imbalance:n 0.989655
@economics:y 0.000000
